Name,Type,Count,Unit Price,Part Number 1,Source 1,Part Number 2,Source 2
Mountain Button Switch,switch,10,0.208740971,101-0264-EV,Mouser,,
"0.1"" 36 pin Breakaway header",header,0,0.560194073,649-68000-236HLF,Mouser,WM6436-ND,Digikey
USB power switch 2A,power switch,0,0.577713566,621-AP2111SG-13,Mouser,,
"2x5 0.1"" SMD header",header,0,0.396110304,649-54202-G0805LF,Mouser,,
"2x8 0.1"" SMD header",header,0,0.777558235,649-95278-101A16LF,Mouser,,
25 MHz Crystal ABM7,xtal,0,0.98207248,815-ABM7-25-D2Y-T,Mouser,,
16 MHz Crystal ABM7,xtal,0,0.98207248,815-ABM7-16-D2Y-T,Mouser,,
LM3S3N26,microcontroller,10,8.292615904,595-LM3S3N26-IQR50C5,Mouser,,
16 MHz Cystal ABM2,xtal,10,0.520688583,815-ABM2-16-D4Y-T,Mouser,,
"0.1"" 2 pin jumper",jumper,0,0.078581205,737-MSBH-G,Mouser,,
LiPo header TH ST,header,0,0.086085768,455-1704-ND,Digikey,,
"2x4 0.1"" female TH socket",socket,10,0.666794277,S7072-ND,Digikey,,
"6 pin 0.1"" R/A socket",socket,0,0.711170306,S5481-ND,Digikey,,
"8 pin 0.1"" R/A header",header,0,0.494450859,609-3321-ND,Digikey,,
LDO SOT-23 2.2V/3.3V low power,regulator,0,1.25348031,296-23332-1-ND,Digikey,,
LM3S9B90,microcontroller,0,7.948252024,LM3S9B90-IQC80-C5,Arrow,,
0603 330 ohm 5%,res,20,8.18E-04,CRCW0603330RJNEA,Arrow,,
0603 12.4K ohm 1%,res,0,0.001133885,CRCW060312K4FKEA,Arrow,,
0603 9.1K ohm 1%,res,100,0.001133885,CRCW06039K10FKEA,Arrow,,
0603 49.9 ohm 1%,res,0,0.001133885,CRCW060349R9FKEA,Arrow,,
0805 10uF ceramic 10V,cap,0,0.011732588,C2012Y5V1A106Z,Arrow,,
0603 4.7uF cermaic 10V,cap,10,0.011559836,GRM188F51A475ZE20D,Arrow,445-1417-1-ND,Digikey
0603 1uF ceramic 10V,cap,0,0.003314689,GRM188F51A105ZA01D,Arrow,,
0603 18pF ceramic 50V,cap,20,0.002473516,GRM1885C1H180JA01D,Arrow,,
0603 0.1uF ceramic 25V,cap,100,0.00203513,GRM188R71E104KA01D,Arrow,,
16MB SDRAM 54 TSOP,RAM,0,2.287963281,MT48LC8M16A2P-7EG,Arrow,,
Pulse SMD Ethernet Magjack,connector,0,3.065472085,J3011G21DNL,Arrow,,
microSD card,connector,0,0.236872277,517-2908-05WB-MG,Mouser,,
